ticket_id,unit_id,property_id,category,priority,open_date,close_date,cost,status,name,city,resolution_days,is_open,days_open,sla_days,sla_breach,cost_tier
M00001,U00150,P001,Flooring,High,2024-04-16,2024-05-07,1913.5,Closed,Duvall Westside,Laurel,21.0,0,720,3,0,High
M00002,U00061,P001,Pest Control,Emergency,2026-03-06,2026-03-28,598.85,Closed,Duvall Westside,Laurel,22.0,0,31,1,0,Medium
M00003,U00209,P001,Appliance,Medium,2023-10-26,2023-12-07,1117.78,Closed,Duvall Westside,Laurel,42.0,0,893,7,0,High
M00004,U00058,P001,Flooring,High,2025-11-19,2025-12-17,632.08,Closed,Duvall Westside,Laurel,28.0,0,138,3,0,Medium
M00005,U00005,P001,Pest Control,Low,2024-07-28,2024-08-30,2054.53,Closed,Duvall Westside,Laurel,33.0,0,617,14,0,High
M00006,U00032,P001,Pest Control,Low,2025-08-20,,0.0,Open,Duvall Westside,Laurel,,1,229,14,1,No Cost
M00007,U00020,P001,Plumbing,Medium,2026-01-29,2026-02-08,472.75,Closed,Duvall Westside,Laurel,10.0,0,67,7,0,Medium
M00008,U00144,P001,HVAC,Medium,2024-12-27,2025-01-10,798.01,Closed,Duvall Westside,Laurel,14.0,0,465,7,0,Medium
M00009,U00086,P001,Electrical,High,2025-09-18,2025-10-25,1589.65,Closed,Duvall Westside,Laurel,37.0,0,200,3,0,High
M00010,U00131,P001,Electrical,Low,2023-11-17,,0.0,Open,Duvall Westside,Laurel,,1,871,14,1,No Cost
M00011,U00260,P001,Plumbing,Medium,2023-06-17,,0.0,Open,Duvall Westside,Laurel,,1,1024,7,1,No Cost
M00012,U00101,P001,Appliance,Emergency,2023-06-11,2023-07-03,2182.64,Closed,Duvall Westside,Laurel,22.0,0,1030,1,0,High
M00013,U00225,P001,General,Medium,2025-07-07,,0.0,Open,Duvall Westside,Laurel,,1,273,7,1,No Cost
M00014,U00270,P001,Electrical,High,2026-02-20,2026-03-15,849.43,Closed,Duvall Westside,Laurel,23.0,0,45,3,0,Medium
M00015,U00140,P001,Electrical,Low,2025-05-07,2025-05-17,2236.62,Closed,Duvall Westside,Laurel,10.0,0,334,14,0,High
M00016,U00021,P001,Flooring,High,2026-02-17,,0.0,Open,Duvall Westside,Laurel,,1,48,3,1,No Cost
M00017,U00207,P001,General,Medium,2026-03-12,2026-04-22,865.26,Closed,Duvall Westside,Laurel,41.0,0,25,7,0,Medium
M00018,U00106,P001,Electrical,Medium,2023-10-07,2023-11-21,425.23,Closed,Duvall Westside,Laurel,45.0,0,912,7,0,Medium
M00019,U00272,P001,Pest Control,Medium,2025-09-15,2025-10-26,2317.44,Closed,Duvall Westside,Laurel,41.0,0,203,7,0,High
M00020,U00079,P001,Pest Control,Emergency,2025-06-16,2025-06-27,2453.73,Closed,Duvall Westside,Laurel,11.0,0,294,1,0,High
M00021,U00183,P001,Appliance,Medium,2024-10-16,,0.0,Open,Duvall Westside,Laurel,,1,537,7,1,No Cost
M00022,U00255,P001,Electrical,Medium,2025-03-17,2025-03-23,2289.76,Closed,Duvall Westside,Laurel,6.0,0,385,7,0,High
M00023,U00198,P001,HVAC,High,2024-11-14,2024-12-23,958.41,Closed,Duvall Westside,Laurel,39.0,0,508,3,0,Medium
M00024,U00245,P001,General,Emergency,2024-11-28,2024-12-24,56.19,Closed,Duvall Westside,Laurel,26.0,0,494,1,0,Low
M00025,U00012,P001,Pest Control,High,2025-05-04,2025-06-10,1757.57,Closed,Duvall Westside,Laurel,37.0,0,337,3,0,High
M00026,U00052,P001,Flooring,Emergency,2023-10-11,2023-11-04,957.3,Closed,Duvall Westside,Laurel,24.0,0,908,1,0,Medium
M00027,U00079,P001,Flooring,Medium,2025-02-02,2025-02-22,1529.84,Closed,Duvall Westside,Laurel,20.0,0,428,7,0,High
M00028,U00085,P001,Appliance,Medium,2023-12-23,2024-01-10,1568.79,Closed,Duvall Westside,Laurel,18.0,0,835,7,0,High
M00029,U00092,P001,Flooring,Medium,2025-04-19,2025-05-20,716.68,Closed,Duvall Westside,Laurel,31.0,0,352,7,0,Medium
M00030,U00228,P001,Electrical,Medium,2025-07-16,,0.0,Open,Duvall Westside,Laurel,,1,264,7,1,No Cost
M00031,U00019,P001,Electrical,Low,2025-06-10,2025-07-20,695.14,Closed,Duvall Westside,Laurel,40.0,0,300,14,0,Medium
M00032,U00108,P001,General,Medium,2024-08-29,,0.0,Open,Duvall Westside,Laurel,,1,585,7,1,No Cost
M00033,U00222,P001,Flooring,High,2026-03-05,2026-04-01,2011.72,Closed,Duvall Westside,Laurel,27.0,0,32,3,0,High
M00034,U00090,P001,HVAC,Low,2024-11-26,2024-11-30,1242.85,Closed,Duvall Westside,Laurel,4.0,0,496,14,0,High
M00035,U00124,P001,Appliance,Low,2025-05-09,2025-06-16,1186.34,Closed,Duvall Westside,Laurel,38.0,0,332,14,0,High
