payment_id,tenant_id,unit_id,property_id,period_month,amount_due,amount_paid,payment_date,status,period_dt,days_to_pay,is_paid,is_delinquent,is_partial,balance_owed,late_flag,quarter,name,city,unit_type
PAY000001,T00003,U00006,P001,2024-03,1250.0,1250.0,2024-04-04,Paid,2024-03-01,34.0,1,0,0,0.0,1,Q1 2024,Duvall Westside,Laurel,Studio
PAY000002,T00003,U00006,P001,2024-04,1250.0,969.0,2024-05-16,Partial,2024-04-01,45.0,0,0,1,281.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000003,T00003,U00006,P001,2024-05,1250.0,1250.0,2024-05-31,Paid,2024-05-01,30.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000004,T00003,U00006,P001,2024-06,1250.0,1250.0,2024-06-30,Paid,2024-06-01,29.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000005,T00003,U00006,P001,2024-07,1250.0,1250.0,2024-08-01,Paid,2024-07-01,31.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000006,T00003,U00006,P001,2024-08,1250.0,1250.0,2024-09-02,Paid,2024-08-01,32.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000007,T00003,U00006,P001,2024-09,1250.0,1250.0,2024-10-02,Paid,2024-09-01,31.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000008,T00003,U00006,P001,2024-10,1250.0,1250.0,2024-10-31,Paid,2024-10-01,30.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000009,T00003,U00006,P001,2024-11,1250.0,1250.0,2024-12-01,Paid,2024-11-01,30.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000010,T00003,U00006,P001,2024-12,1250.0,1250.0,2024-12-31,Paid,2024-12-01,30.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000011,T00003,U00006,P001,2025-01,1250.0,1250.0,2025-01-29,Paid,2025-01-01,28.0,1,0,0,0.0,1,Q1 2025,Duvall Westside,Laurel,Studio
PAY000012,T00003,U00006,P001,2025-02,1250.0,1250.0,2025-02-25,Paid,2025-02-01,24.0,1,0,0,0.0,1,Q1 2025,Duvall Westside,Laurel,Studio
PAY000013,T00008,U00011,P001,2024-01,1264.0,1264.0,2024-01-03,Paid,2024-01-01,2.0,1,0,0,0.0,0,Q1 2024,Duvall Westside,Laurel,Studio
PAY000014,T00008,U00011,P001,2024-01,1264.0,1264.0,2024-02-05,Paid,2024-01-01,35.0,1,0,0,0.0,1,Q1 2024,Duvall Westside,Laurel,Studio
PAY000015,T00008,U00011,P001,2024-03,1264.0,1264.0,2024-03-03,Paid,2024-03-01,2.0,1,0,0,0.0,0,Q1 2024,Duvall Westside,Laurel,Studio
PAY000016,T00008,U00011,P001,2024-03,1264.0,1264.0,2024-04-01,Paid,2024-03-01,31.0,1,0,0,0.0,1,Q1 2024,Duvall Westside,Laurel,Studio
PAY000017,T00008,U00011,P001,2024-04,1264.0,1264.0,2024-05-01,Paid,2024-04-01,30.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000018,T00008,U00011,P001,2024-05,1264.0,1264.0,2024-06-03,Paid,2024-05-01,33.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000019,T00008,U00011,P001,2024-06,1264.0,1264.0,2024-07-03,Paid,2024-06-01,32.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000020,T00008,U00011,P001,2024-07,1264.0,1264.0,2024-08-03,Paid,2024-07-01,33.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000021,T00008,U00011,P001,2024-08,1264.0,1264.0,2024-08-30,Paid,2024-08-01,29.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000022,T00008,U00011,P001,2024-09,1264.0,1264.0,2024-10-01,Paid,2024-09-01,30.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000023,T00008,U00011,P001,2024-10,1264.0,1264.0,2024-10-31,Paid,2024-10-01,30.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000024,T00008,U00011,P001,2024-11,1264.0,1264.0,2024-12-01,Paid,2024-11-01,30.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000025,T00008,U00011,P001,2024-12,1264.0,1264.0,2024-12-27,Paid,2024-12-01,26.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000026,T00008,U00011,P001,2025-01,1264.0,1264.0,2025-01-27,Paid,2025-01-01,26.0,1,0,0,0.0,1,Q1 2025,Duvall Westside,Laurel,Studio
PAY000027,T00008,U00011,P001,2025-02,1264.0,1218.0,2025-03-15,Partial,2025-02-01,42.0,0,0,1,46.0,1,Q1 2025,Duvall Westside,Laurel,Studio
PAY000028,T00010,U00014,P001,2024-03,1365.0,1365.0,2024-04-02,Paid,2024-03-01,32.0,1,0,0,0.0,1,Q1 2024,Duvall Westside,Laurel,Studio
PAY000029,T00010,U00014,P001,2024-04,1365.0,1365.0,2024-05-05,Paid,2024-04-01,34.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000030,T00010,U00014,P001,2024-05,1365.0,1365.0,2024-06-02,Paid,2024-05-01,32.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000031,T00010,U00014,P001,2024-06,1365.0,1365.0,2024-07-04,Paid,2024-06-01,33.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000032,T00010,U00014,P001,2024-07,1365.0,1365.0,2024-08-01,Paid,2024-07-01,31.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000033,T00010,U00014,P001,2024-08,1365.0,1365.0,2024-08-31,Paid,2024-08-01,30.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000034,T00010,U00014,P001,2024-09,1365.0,1365.0,2024-09-30,Paid,2024-09-01,29.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000035,T00010,U00014,P001,2024-10,1365.0,1365.0,2024-10-29,Paid,2024-10-01,28.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000036,T00010,U00014,P001,2024-11,1365.0,1365.0,2024-11-28,Paid,2024-11-01,27.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000037,T00010,U00014,P001,2024-12,1365.0,1365.0,2024-12-28,Paid,2024-12-01,27.0,1,0,0,0.0,1,Q4 2024,Duvall Westside,Laurel,Studio
PAY000038,T00010,U00014,P001,2025-01,1365.0,1348.0,2025-02-03,Partial,2025-01-01,33.0,0,0,1,17.0,1,Q1 2025,Duvall Westside,Laurel,Studio
PAY000039,T00010,U00014,P001,2025-02,1365.0,1365.0,2025-03-01,Paid,2025-02-01,28.0,1,0,0,0.0,1,Q1 2025,Duvall Westside,Laurel,Studio
PAY000040,T00011,U00015,P001,2024-01,1566.0,1566.0,2024-01-06,Paid,2024-01-01,5.0,1,0,0,0.0,0,Q1 2024,Duvall Westside,Laurel,Studio
PAY000041,T00011,U00015,P001,2024-01,1566.0,1566.0,2024-02-01,Paid,2024-01-01,31.0,1,0,0,0.0,1,Q1 2024,Duvall Westside,Laurel,Studio
PAY000042,T00011,U00015,P001,2024-03,1566.0,1566.0,2024-03-04,Paid,2024-03-01,3.0,1,0,0,0.0,0,Q1 2024,Duvall Westside,Laurel,Studio
PAY000043,T00011,U00015,P001,2024-03,1566.0,1566.0,2024-04-01,Paid,2024-03-01,31.0,1,0,0,0.0,1,Q1 2024,Duvall Westside,Laurel,Studio
PAY000044,T00011,U00015,P001,2024-04,1566.0,1566.0,2024-05-01,Paid,2024-04-01,30.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000045,T00011,U00015,P001,2024-05,1566.0,1566.0,2024-06-03,Paid,2024-05-01,33.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000046,T00011,U00015,P001,2024-06,1566.0,1566.0,2024-07-02,Paid,2024-06-01,31.0,1,0,0,0.0,1,Q2 2024,Duvall Westside,Laurel,Studio
PAY000047,T00011,U00015,P001,2024-07,1566.0,1566.0,2024-07-30,Paid,2024-07-01,29.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000048,T00011,U00015,P001,2024-08,1566.0,0.0,,Delinquent,2024-08-01,,0,1,0,1566.0,0,Q3 2024,Duvall Westside,Laurel,Studio
PAY000049,T00011,U00015,P001,2024-09,1566.0,1566.0,2024-10-01,Paid,2024-09-01,30.0,1,0,0,0.0,1,Q3 2024,Duvall Westside,Laurel,Studio
PAY000050,T00011,U00015,P001,2024-10,1566.0,0.0,,Delinquent,2024-10-01,,0,1,0,1566.0,0,Q4 2024,Duvall Westside,Laurel,Studio
