unit_id,property_id,unit_number,unit_type,sqft,market_rent,floor,status,name,city,property_type,year_built,is_vacant,annual_market_revenue,rent_per_sqft,property_age,needs_attention,rent_tier,actual_rent,loss_to_lease,occupancy_status
U00001,P001,001,Studio,478,1358.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16296.0,2.84,3,0,Economy,1263.0,95.0,Occupied
U00002,P001,002,Studio,507,1392.0,1,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,16704.0,2.75,3,0,Economy,0.0,1392.0,Vacant
U00003,P001,003,Studio,472,1527.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18324.0,3.24,3,0,Mid-Range,1504.0,23.0,Occupied
U00004,P001,004,Studio,473,1416.0,5,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,16992.0,2.99,3,0,Economy,0.0,1416.0,Vacant
U00005,P001,005,Studio,456,1518.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,18216.0,3.33,3,0,Mid-Range,0.0,1518.0,Vacant
U00006,P001,006,Studio,557,1416.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16992.0,2.54,3,0,Economy,1250.0,166.0,Occupied
U00007,P001,007,Studio,451,1578.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18936.0,3.5,3,0,Mid-Range,1511.0,67.0,Occupied
U00008,P001,008,Studio,537,1433.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,17196.0,2.67,3,0,Economy,1429.0,4.0,Occupied
U00009,P001,009,Studio,476,1378.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16536.0,2.89,3,0,Economy,1329.0,49.0,Occupied
U00010,P001,010,Studio,538,1531.0,1,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,18372.0,2.85,3,0,Mid-Range,0.0,1531.0,Vacant
U00011,P001,011,Studio,587,1387.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16644.0,2.36,3,0,Economy,1264.0,123.0,Occupied
U00012,P001,012,Studio,591,1438.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,17256.0,2.43,3,0,Economy,0.0,1438.0,Vacant
U00013,P001,013,Studio,542,1523.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18276.0,2.81,3,0,Mid-Range,1371.0,152.0,Occupied
U00014,P001,014,Studio,461,1548.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18576.0,3.36,3,0,Mid-Range,1365.0,183.0,Occupied
U00015,P001,015,Studio,509,1610.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19320.0,3.16,3,0,Mid-Range,1566.0,44.0,Occupied
U00016,P001,016,Studio,566,1541.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18492.0,2.72,3,0,Mid-Range,1378.0,163.0,Occupied
U00017,P001,017,Studio,544,1457.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,17484.0,2.68,3,0,Economy,1448.0,9.0,Occupied
U00018,P001,018,Studio,468,1533.0,2,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,18396.0,3.28,3,0,Mid-Range,0.0,1533.0,Vacant
U00019,P001,019,Studio,512,1399.0,4,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16788.0,2.73,3,0,Economy,1356.0,43.0,Occupied
U00020,P001,020,Studio,592,1416.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16992.0,2.39,3,0,Economy,1319.0,97.0,Occupied
U00021,P001,021,Studio,508,1597.0,3,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19164.0,3.14,3,0,Mid-Range,1447.0,150.0,Occupied
U00022,P001,022,Studio,518,1370.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,16440.0,2.64,3,0,Economy,1274.0,96.0,Occupied
U00023,P001,023,Studio,504,1547.0,4,Notice,Duvall Westside,Laurel,Luxury Apartment,2023,0,18564.0,3.07,3,0,Mid-Range,0.0,1547.0,Vacant
U00024,P001,024,Studio,486,1429.0,2,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,17148.0,2.94,3,0,Economy,0.0,1429.0,Vacant
U00025,P001,025,Studio,587,1429.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,17148.0,2.43,3,0,Economy,1363.0,66.0,Occupied
U00026,P001,026,Studio,599,1470.0,2,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,17640.0,2.45,3,0,Economy,1396.0,74.0,Occupied
U00027,P001,027,Studio,580,1498.0,1,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,17976.0,2.58,3,0,Economy,1320.0,178.0,Occupied
U00028,P001,028,Studio,489,1538.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,18456.0,3.15,3,0,Mid-Range,1533.0,5.0,Occupied
U00029,P001,029,1BR/1BA,802,1575.0,4,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,18900.0,1.96,3,0,Mid-Range,0.0,1575.0,Vacant
U00030,P001,030,1BR/1BA,769,1762.0,5,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,21144.0,2.29,3,0,Mid-Range,1701.0,61.0,Occupied
U00031,P001,031,1BR/1BA,824,1838.0,6,Vacant,Duvall Westside,Laurel,Luxury Apartment,2023,1,22056.0,2.23,3,0,Mid-Range,0.0,1838.0,Vacant
U00032,P001,032,1BR/1BA,842,1657.0,6,Active,Duvall Westside,Laurel,Luxury Apartment,2023,0,19884.0,1.97,3,0,Mid-Range,1509.0,148.0,Occupied
