ticket_id,unit_id,property_id,category,priority,open_date,close_date,cost,status
M00001,U00150,P001,Flooring,High,2024-04-16,2024-05-07,1913.5,Closed
M00002,U00061,P001,Pest Control,Emergency,2026-03-06,2026-03-28,598.85,Closed
M00003,U00209,P001,Appliance,Medium,2023-10-26,2023-12-07,1117.78,Closed
M00004,U00058,P001,Flooring,High,2025-11-19,2025-12-17,632.08,Closed
M00005,U00005,P001,Pest Control,Low,2024-07-28,2024-08-30,2054.53,Closed
M00006,U00032,P001,Pest Control,Low,2025-08-20,,0.0,Open
M00007,U00020,P001,Plumbing,Medium,2026-01-29,2026-02-08,472.75,Closed
M00008,U00144,P001,HVAC,Medium,2024-12-27,2025-01-10,798.01,Closed
M00009,U00086,P001,Electrical,High,2025-09-18,2025-10-25,1589.65,Closed
M00010,U00131,P001,Electrical,Low,2023-11-17,,0.0,Open
M00011,U00260,P001,Plumbing,Medium,2023-06-17,,0.0,Open
M00012,U00101,P001,Appliance,Emergency,2023-06-11,2023-07-03,2182.64,Closed
M00013,U00225,P001,General,Medium,2025-07-07,,0.0,Open
M00014,U00270,P001,Electrical,High,2026-02-20,2026-03-15,849.43,Closed
M00015,U00140,P001,Electrical,Low,2025-05-07,2025-05-17,2236.62,Closed
M00016,U00021,P001,Flooring,High,2026-02-17,,0.0,Open
M00017,U00207,P001,General,Medium,2026-03-12,2026-04-22,865.26,Closed
M00018,U00106,P001,Electrical,Medium,2023-10-07,2023-11-21,425.23,Closed
M00019,U00272,P001,Pest Control,Medium,2025-09-15,2025-10-26,2317.44,Closed
M00020,U00079,P001,Pest Control,Emergency,2025-06-16,2025-06-27,2453.73,Closed
M00021,U00183,P001,Appliance,Medium,2024-10-16,,0.0,Open
M00022,U00255,P001,Electrical,Medium,2025-03-17,2025-03-23,2289.76,Closed
M00023,U00198,P001,HVAC,High,2024-11-14,2024-12-23,958.41,Closed
M00024,U00245,P001,General,Emergency,2024-11-28,2024-12-24,56.19,Closed
M00025,U00012,P001,Pest Control,High,2025-05-04,2025-06-10,1757.57,Closed
M00026,U00052,P001,Flooring,Emergency,2023-10-11,2023-11-04,957.3,Closed
M00027,U00079,P001,Flooring,Medium,2025-02-02,2025-02-22,1529.84,Closed
M00028,U00085,P001,Appliance,Medium,2023-12-23,2024-01-10,1568.79,Closed
M00029,U00092,P001,Flooring,Medium,2025-04-19,2025-05-20,716.68,Closed
M00030,U00228,P001,Electrical,Medium,2025-07-16,,0.0,Open
M00031,U00019,P001,Electrical,Low,2025-06-10,2025-07-20,695.14,Closed
M00032,U00108,P001,General,Medium,2024-08-29,,0.0,Open
M00033,U00222,P001,Flooring,High,2026-03-05,2026-04-01,2011.72,Closed
M00034,U00090,P001,HVAC,Low,2024-11-26,2024-11-30,1242.85,Closed
M00035,U00124,P001,Appliance,Low,2025-05-09,2025-06-16,1186.34,Closed
M00036,U00064,P001,Plumbing,Low,2024-01-11,2024-02-02,1626.45,Closed
M00037,U00237,P001,Electrical,Medium,2025-01-10,2025-01-27,638.96,Closed
M00038,U00037,P001,Pest Control,Medium,2026-02-15,2026-03-10,2359.33,Closed
M00039,U00240,P001,Flooring,Medium,2025-08-30,2025-09-14,889.39,Closed
M00040,U00250,P001,Appliance,Low,2025-08-14,2025-09-25,966.53,Closed
M00041,U00110,P001,Flooring,Medium,2024-04-06,2024-04-16,1364.2,Closed
M00042,U00191,P001,Appliance,Emergency,2023-07-07,,0.0,Open
M00043,U00177,P001,Electrical,Emergency,2025-02-07,,0.0,Open
M00044,U00186,P001,Flooring,Low,2025-09-15,2025-09-25,1979.17,Closed
M00045,U00272,P001,Pest Control,Medium,2024-01-27,2024-02-23,460.73,Closed
M00046,U00110,P001,General,Medium,2025-11-26,2025-11-28,1189.28,Closed
M00047,U00129,P001,Electrical,Emergency,2025-11-27,2025-12-04,673.49,Closed
M00048,U00253,P001,General,Emergency,2026-02-26,2026-04-12,651.61,Closed
M00049,U00149,P001,Plumbing,Emergency,2025-05-16,2025-06-22,883.11,Closed
M00050,U00022,P001,Flooring,Medium,2026-03-19,,0.0,Open
M00051,U00191,P001,General,High,2023-08-15,2023-08-17,517.86,Closed
M00052,U00199,P001,Plumbing,Low,2023-11-07,2023-12-17,1710.62,Closed
M00053,U00021,P001,Pest Control,Low,2025-11-14,2025-12-09,1177.03,Closed
M00054,U00139,P001,Flooring,Low,2026-02-26,2026-04-12,1513.59,Closed
M00055,U00271,P001,Appliance,Medium,2023-12-18,2023-12-28,319.11,Closed
M00056,U00187,P001,Flooring,Medium,2025-10-16,2025-11-29,662.47,Closed
M00057,U00102,P001,Pest Control,High,2026-02-21,,0.0,Open
M00058,U00189,P001,General,Medium,2025-09-12,2025-09-16,1163.41,Closed
M00059,U00069,P001,Flooring,Emergency,2024-08-13,2024-08-19,2419.24,Closed
M00060,U00119,P001,Pest Control,Medium,2024-01-05,2024-02-14,67.89,Closed
M00061,U00140,P001,HVAC,Low,2026-01-14,,0.0,Open
M00062,U00159,P001,HVAC,High,2025-02-24,,0.0,Open
M00063,U00117,P001,Electrical,High,2024-09-03,2024-10-10,1064.41,Closed
M00064,U00033,P001,General,Medium,2023-07-16,2023-08-28,76.96,Closed
M00065,U00027,P001,Electrical,Medium,2025-06-15,2025-07-13,2116.53,Closed
M00066,U00079,P001,Electrical,Low,2024-05-22,,0.0,Open
M00067,U00176,P001,HVAC,High,2024-09-28,,0.0,Open
M00068,U00242,P001,Pest Control,Emergency,2024-11-23,2024-11-28,396.65,Closed
M00069,U00260,P001,Pest Control,Emergency,2025-08-08,2025-09-15,304.03,Closed
M00070,U00065,P001,General,Medium,2024-07-06,,0.0,Open
M00071,U00086,P001,Plumbing,Medium,2024-05-06,2024-05-17,2022.5,Closed
M00072,U00043,P001,Plumbing,Emergency,2026-02-26,,0.0,Open
M00073,U00280,P001,Flooring,Medium,2025-04-13,,0.0,Open
M00074,U00157,P001,Electrical,Medium,2025-12-11,,0.0,Open
