payment_id,tenant_id,unit_id,property_id,period_month,amount_due,amount_paid,payment_date,status
PAY000001,T00003,U00006,P001,2024-03,1250.0,1250.0,2024-04-04,Paid
PAY000002,T00003,U00006,P001,2024-04,1250.0,969.0,2024-05-16,Partial
PAY000003,T00003,U00006,P001,2024-05,1250.0,1250.0,2024-05-31,Paid
PAY000004,T00003,U00006,P001,2024-06,1250.0,1250.0,2024-06-30,Paid
PAY000005,T00003,U00006,P001,2024-07,1250.0,1250.0,2024-08-01,Paid
PAY000006,T00003,U00006,P001,2024-08,1250.0,1250.0,2024-09-02,Paid
PAY000007,T00003,U00006,P001,2024-09,1250.0,1250.0,2024-10-02,Paid
PAY000008,T00003,U00006,P001,2024-10,1250.0,1250.0,2024-10-31,Paid
PAY000009,T00003,U00006,P001,2024-11,1250.0,1250.0,2024-12-01,Paid
PAY000010,T00003,U00006,P001,2024-12,1250.0,1250.0,2024-12-31,Paid
PAY000011,T00003,U00006,P001,2025-01,1250.0,1250.0,2025-01-29,Paid
PAY000012,T00003,U00006,P001,2025-02,1250.0,1250.0,2025-02-25,Paid
PAY000013,T00008,U00011,P001,2024-01,1264.0,1264.0,2024-01-03,Paid
PAY000014,T00008,U00011,P001,2024-01,1264.0,1264.0,2024-02-05,Paid
PAY000015,T00008,U00011,P001,2024-03,1264.0,1264.0,2024-03-03,Paid
PAY000016,T00008,U00011,P001,2024-03,1264.0,1264.0,2024-04-01,Paid
PAY000017,T00008,U00011,P001,2024-04,1264.0,1264.0,2024-05-01,Paid
PAY000018,T00008,U00011,P001,2024-05,1264.0,1264.0,2024-06-03,Paid
PAY000019,T00008,U00011,P001,2024-06,1264.0,1264.0,2024-07-03,Paid
PAY000020,T00008,U00011,P001,2024-07,1264.0,1264.0,2024-08-03,Paid
PAY000021,T00008,U00011,P001,2024-08,1264.0,1264.0,2024-08-30,Paid
PAY000022,T00008,U00011,P001,2024-09,1264.0,1264.0,2024-10-01,Paid
PAY000023,T00008,U00011,P001,2024-10,1264.0,1264.0,2024-10-31,Paid
PAY000024,T00008,U00011,P001,2024-11,1264.0,1264.0,2024-12-01,Paid
PAY000025,T00008,U00011,P001,2024-12,1264.0,1264.0,2024-12-27,Paid
PAY000026,T00008,U00011,P001,2025-01,1264.0,1264.0,2025-01-27,Paid
PAY000027,T00008,U00011,P001,2025-02,1264.0,1218.0,2025-03-15,Partial
PAY000028,T00010,U00014,P001,2024-03,1365.0,1365.0,2024-04-02,Paid
PAY000029,T00010,U00014,P001,2024-04,1365.0,1365.0,2024-05-05,Paid
PAY000030,T00010,U00014,P001,2024-05,1365.0,1365.0,2024-06-02,Paid
PAY000031,T00010,U00014,P001,2024-06,1365.0,1365.0,2024-07-04,Paid
PAY000032,T00010,U00014,P001,2024-07,1365.0,1365.0,2024-08-01,Paid
PAY000033,T00010,U00014,P001,2024-08,1365.0,1365.0,2024-08-31,Paid
PAY000034,T00010,U00014,P001,2024-09,1365.0,1365.0,2024-09-30,Paid
PAY000035,T00010,U00014,P001,2024-10,1365.0,1365.0,2024-10-29,Paid
PAY000036,T00010,U00014,P001,2024-11,1365.0,1365.0,2024-11-28,Paid
PAY000037,T00010,U00014,P001,2024-12,1365.0,1365.0,2024-12-28,Paid
PAY000038,T00010,U00014,P001,2025-01,1365.0,1348.0,2025-02-03,Partial
PAY000039,T00010,U00014,P001,2025-02,1365.0,1365.0,2025-03-01,Paid
PAY000040,T00011,U00015,P001,2024-01,1566.0,1566.0,2024-01-06,Paid
PAY000041,T00011,U00015,P001,2024-01,1566.0,1566.0,2024-02-01,Paid
PAY000042,T00011,U00015,P001,2024-03,1566.0,1566.0,2024-03-04,Paid
PAY000043,T00011,U00015,P001,2024-03,1566.0,1566.0,2024-04-01,Paid
PAY000044,T00011,U00015,P001,2024-04,1566.0,1566.0,2024-05-01,Paid
PAY000045,T00011,U00015,P001,2024-05,1566.0,1566.0,2024-06-03,Paid
PAY000046,T00011,U00015,P001,2024-06,1566.0,1566.0,2024-07-02,Paid
PAY000047,T00011,U00015,P001,2024-07,1566.0,1566.0,2024-07-30,Paid
PAY000048,T00011,U00015,P001,2024-08,1566.0,0.0,,Delinquent
PAY000049,T00011,U00015,P001,2024-09,1566.0,1566.0,2024-10-01,Paid
PAY000050,T00011,U00015,P001,2024-10,1566.0,0.0,,Delinquent
PAY000051,T00011,U00015,P001,2024-11,1566.0,1566.0,2024-11-30,Paid
PAY000052,T00011,U00015,P001,2024-12,1566.0,1566.0,2024-12-31,Paid
PAY000053,T00011,U00015,P001,2025-01,1566.0,1566.0,2025-01-26,Paid
PAY000054,T00011,U00015,P001,2025-02,1566.0,1566.0,2025-03-01,Paid
PAY000055,T00012,U00016,P001,2024-01,1378.0,1378.0,2024-01-03,Paid
PAY000056,T00012,U00016,P001,2024-01,1378.0,1378.0,2024-02-02,Paid
PAY000057,T00012,U00016,P001,2024-03,1378.0,1378.0,2024-03-03,Paid
PAY000058,T00012,U00016,P001,2024-03,1378.0,1378.0,2024-04-01,Paid
PAY000059,T00012,U00016,P001,2024-04,1378.0,1378.0,2024-05-01,Paid
PAY000060,T00012,U00016,P001,2024-05,1378.0,1378.0,2024-06-04,Paid
PAY000061,T00012,U00016,P001,2024-06,1378.0,1378.0,2024-07-01,Paid
PAY000062,T00012,U00016,P001,2024-07,1378.0,1378.0,2024-07-30,Paid
PAY000063,T00012,U00016,P001,2024-08,1378.0,1378.0,2024-08-31,Paid
PAY000064,T00012,U00016,P001,2024-09,1378.0,1378.0,2024-09-29,Paid
PAY000065,T00012,U00016,P001,2024-10,1378.0,1378.0,2024-11-01,Paid
PAY000066,T00012,U00016,P001,2024-11,1378.0,1378.0,2024-11-29,Paid
PAY000067,T00012,U00016,P001,2024-12,1378.0,1378.0,2024-12-30,Paid
PAY000068,T00012,U00016,P001,2025-01,1378.0,1378.0,2025-01-26,Paid
PAY000069,T00015,U00020,P001,2024-01,1319.0,1319.0,2024-01-06,Paid
PAY000070,T00015,U00020,P001,2024-01,1319.0,1319.0,2024-02-03,Paid
PAY000071,T00015,U00020,P001,2024-03,1319.0,1319.0,2024-03-05,Paid
PAY000072,T00016,U00021,P001,2024-01,1447.0,1447.0,2024-01-06,Paid
PAY000073,T00016,U00021,P001,2024-01,1447.0,1447.0,2024-02-05,Paid
PAY000074,T00016,U00021,P001,2024-03,1447.0,1447.0,2024-03-02,Paid
PAY000075,T00018,U00023,P001,2024-01,1367.0,1367.0,2024-01-06,Paid
PAY000076,T00018,U00023,P001,2024-01,1367.0,1367.0,2024-02-03,Paid
PAY000077,T00018,U00023,P001,2024-03,1367.0,1367.0,2024-03-02,Paid
PAY000078,T00018,U00023,P001,2024-03,1367.0,1367.0,2024-04-04,Paid
PAY000079,T00018,U00023,P001,2024-04,1367.0,1367.0,2024-05-01,Paid
PAY000080,T00021,U00027,P001,2024-01,1320.0,1320.0,2024-01-02,Paid
PAY000081,T00021,U00027,P001,2024-01,1320.0,1320.0,2024-02-05,Paid
PAY000082,T00021,U00027,P001,2024-03,1320.0,1320.0,2024-03-02,Paid
PAY000083,T00021,U00027,P001,2024-03,1320.0,1320.0,2024-04-01,Paid
PAY000084,T00021,U00027,P001,2024-04,1320.0,1320.0,2024-05-03,Paid
PAY000085,T00021,U00027,P001,2024-05,1320.0,1320.0,2024-06-01,Paid
PAY000086,T00021,U00027,P001,2024-06,1320.0,1320.0,2024-07-01,Paid
PAY000087,T00021,U00027,P001,2024-07,1320.0,1320.0,2024-07-31,Paid
PAY000088,T00023,U00030,P001,2024-01,1701.0,1701.0,2024-01-05,Paid
PAY000089,T00023,U00030,P001,2024-01,1701.0,1701.0,2024-02-02,Paid
PAY000090,T00023,U00030,P001,2024-03,1701.0,1701.0,2024-03-06,Paid
PAY000091,T00023,U00030,P001,2024-03,1701.0,1701.0,2024-04-02,Paid
PAY000092,T00024,U00032,P001,2024-01,1509.0,1509.0,2024-01-04,Paid
PAY000093,T00024,U00032,P001,2024-01,1509.0,1509.0,2024-02-02,Paid
PAY000094,T00024,U00032,P001,2024-03,1509.0,0.0,,Delinquent
PAY000095,T00024,U00032,P001,2024-03,1509.0,1509.0,2024-04-04,Paid
